petition_id,abstract,label,numberOfSignatures
0,51,13,27
1,52,16,223
2,46,12,176
3,53,11,15
4,39,16,12
5,35,13,31
6,48,8,26
7,50,12,65
8,59,11,181
9,48,10,13
10,20,7,56
11,52,11,29463
12,38,11,21
13,48,13,43
14,60,16,58
15,42,10,221
16,35,9,526
17,41,14,1202
18,46,13,905
19,41,12,1164
20,48,12,28
21,30,11,16
22,49,8,60
23,47,12,8
24,53,15,91
25,50,11,272
26,56,8,267
27,38,12,793
28,40,9,28609
29,51,13,7
30,27,10,13
31,41,10,86
32,47,14,63
33,43,13,347
34,46,15,272
35,30,11,564
36,41,12,23
37,35,14,63
38,45,11,24015
39,47,12,442
40,51,13,49
41,62,6,127
42,22,12,83
43,48,8,35
44,50,12,13
45,48,10,2341
46,48,13,478
47,39,11,142
48,37,12,35
49,28,13,31
50,45,11,604
51,43,6,29
52,51,13,16
53,49,11,97
54,54,16,28
55,49,3,21
56,56,11,106
57,51,13,1175
58,20,8,251
59,39,14,6920
60,43,14,117
61,50,14,10
62,52,10,1918
63,49,12,78
64,48,15,1183
65,57,8,18
66,37,9,9
67,46,7,141
68,49,11,2246
69,49,11,58
70,48,7,28
71,52,14,106
72,52,6,17
73,45,15,15
74,51,15,139
75,49,11,11
76,49,7,10
77,32,7,296
78,46,9,128
79,51,13,6
80,45,15,13
81,50,12,60
82,22,10,168
83,44,12,5204
84,42,8,203
85,46,10,15
86,49,13,19012
87,50,8,30
88,46,10,200
89,53,9,98
90,49,12,32
91,33,14,96
92,35,7,64
93,32,11,65
94,53,8,7
95,47,10,96
96,45,14,51
97,62,14,7
98,47,13,18
99,24,13,14
100,47,13,14178
101,48,14,10
102,51,10,109
103,52,6,26
104,47,13,8
105,33,10,25
106,40,11,8
107,39,11,926
108,48,9,751
109,44,12,104
110,57,6,10
111,22,12,16
112,27,8,1370
113,45,10,1050
114,43,7,45
115,52,16,14
116,52,12,14
117,51,9,112
118,49,7,7
119,42,13,9
120,47,16,39
121,49,12,50
122,45,15,100
123,51,11,16
124,49,6,44
125,40,13,62
126,44,12,81
127,52,7,14
